game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
2,1,1,4,3,0,4,3,0,2,1,1,2,9,0,0.9026949599537822,0.9105075783694794,29,4,2.926829268292683,3.1219512195121952,2.5,2.840909090909091
2,3,0,3,6,0,0,3,0,3,2,1,4,2,0,0.9233300130769075,0.8992884428555972,15,53,3.0425531914893615,2.1702127659574466,2.1219512195121952,3.2195121951219514
2,5,1,2,0,1,5,1,1,2,3,0,1,5,0,0.9151413168062876,0.9150215194265979,30,23,2.7954545454545454,2.409090909090909,2.317073170731707,3.048780487804878
0,3,0,2,5,0,5,4,1,4,3,1,3,2,0,0.898618516479266,0.9202419891891026,25,28,3.2291666666666665,2.6666666666666665,3.056603773584906,2.4150943396226414
2,3,0,3,2,0,3,4,0,3,9,0,3,5,0,0.9241089175725934,0.9040915163929594,24,52,2.7777777777777777,2.1333333333333333,2.5121951219512195,2.951219512195122
4,5,0,1,3,0,3,4,1,1,0,0,6,3,1,0.9130675882992386,0.9025021519645315,1,25,2.2439024390243905,2.4634146341463414,3.127659574468085,3.0638297872340425
2,3,0,6,4,0,2,4,1,2,1,0,4,2,1,0.9148083825741585,0.9105075783694794,5,4,3.2037037037037037,2.537037037037037,2.5,2.840909090909091
3,2,1,1,3,1,2,3,1,3,4,0,2,6,0,0.906104742590348,0.9134396965739326,22,21,2.658536585365854,2.7804878048780486,2.6341463414634148,2.7804878048780486
2,3,0,4,3,0,1,2,1,2,1,0,4,2,0,0.9083057879185725,0.9202419891891026,18,28,3.0638297872340425,2.404255319148936,3.056603773584906,2.4150943396226414
2,4,0,5,4,0,4,3,0,3,4,0,3,2,1,0.9083551655837222,0.9142779951988452,26,3,2.5681818181818183,2.3863636363636362,2.6136363636363638,2.9318181818181817
3,2,0,0,1,0,3,4,1,4,2,1,1,2,1,0.9153287942272692,0.9104782517150444,17,30,2.627906976744186,2.4651162790697674,2.5,2.75
4,1,0,5,2,0,6,3,0,1,0,0,2,3,0,0.907985810307178,0.9150215194265979,52,23,2.731707317073171,2.8780487804878048,2.317073170731707,3.048780487804878
2,3,0,1,3,0,2,1,1,5,2,1,1,2,0,0.9241089175725934,0.9142779951988452,24,3,2.7777777777777777,2.1333333333333333,2.6136363636363638,2.9318181818181817
6,2,0,2,1,0,2,5,0,1,3,1,0,5,0,0.9182415654588609,0.9009408053338067,2,18,3.0217391304347827,2.5217391304347827,2.3469387755102042,2.9591836734693877
3,4,1,2,3,1,4,2,1,2,1,1,3,0,0,0.9092124267427114,0.9224099924262099,7,13,2.3658536585365852,2.731707317073171,2.7045454545454546,2.4318181818181817
3,4,1,2,4,0,3,1,0,3,0,1,4,5,0,0.8981080813867579,0.9126440104067317,12,17,2.6097560975609757,2.7804878048780486,2.409090909090909,2.9545454545454546
0,1,0,6,3,0,2,0,0,5,4,1,4,3,1,0.9192448990071995,0.9021299105270519,14,16,2.96,2.42,2.7555555555555555,2.977777777777778
1,5,1,0,4,0,2,5,0,4,3,1,3,5,0,0.9062581768588011,0.9224099924262099,10,13,2.707317073170732,2.951219512195122,2.7045454545454546,2.4318181818181817
3,2,1,6,2,1,4,6,0,1,4,0,3,4,1,0.9248649447850572,0.9056603091302774,4,9,2.5,2.4318181818181817,2.8536585365853657,3.3658536585365852
3,5,0,0,2,0,0,1,0,4,3,1,3,4,0,0.9034911437261264,0.9009408053338067,6,18,2.707317073170732,3.1463414634146343,2.3469387755102042,2.9591836734693877
3,4,1,2,4,0,3,1,0,3,0,1,4,5,0,0.8981080813867579,0.9126440104067317,12,17,2.6097560975609757,2.7804878048780486,2.409090909090909,2.9545454545454546
4,5,1,5,1,1,2,4,0,0,5,0,4,0,0,0.9026949599537822,0.9220788317741283,29,7,2.926829268292683,3.1219512195121952,2.5365853658536586,2.682926829268293
1,3,0,4,3,0,3,2,0,0,3,1,2,5,0,0.910303926790141,0.9025021519645315,8,25,2.5609756097560976,2.5121951219512195,3.127659574468085,3.0638297872340425
5,2,1,3,1,0,3,0,0,1,6,0,4,0,0,0.9193838033455951,0.8992884428555972,19,53,2.588235294117647,2.4313725490196076,2.1219512195121952,3.2195121951219514
2,5,0,2,4,0,2,1,0,3,2,1,5,1,1,0.9130675882992386,0.9040915163929594,1,52,2.2439024390243905,2.4634146341463414,2.5121951219512195,2.951219512195122
4,2,1,9,1,0,5,6,1,2,6,0,2,3,0,0.8945393405355543,0.9134396965739326,20,21,3.1463414634146343,3.048780487804878,2.6341463414634148,2.7804878048780486
5,2,0,5,4,1,2,4,1,3,4,0,3,0,0,0.9126606183018093,0.9145988321147641,23,24,2.341463414634146,2.8780487804878048,2.522727272727273,2.5
4,1,0,0,4,0,2,3,0,2,3,1,2,5,0,0.9062806767797283,0.9142779951988452,28,3,2.9056603773584904,2.6037735849056602,2.6136363636363638,2.9318181818181817
