game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
2,3,1,7,0,1,1,4,0,5,2,0,3,0,0,0.9213841558915704,0.9050851437538696,3,4,2.8,3.2,3.4,2.8,3,6
5,2,0,4,0,0,5,6,0,3,6,0,4,3,1,0.9224025860926406,0.9039511902936894,16,52,3.7,2.9,2.2,3.1,6,3
4,1,1,1,3,0,4,2,1,2,7,0,1,3,0,0.9047159473419688,0.9082051418803344,16,20,3.6,2.8,3.0,3.0,8,5
4,7,1,4,2,0,6,3,0,3,2,0,3,4,1,0.8973221849368752,0.9111736488977265,21,10,3.2,3.0,3.0,2.4,5,6
5,0,0,1,2,0,2,5,0,2,3,1,3,4,0,0.9291246774084536,0.91178729238048,5,28,3.5,2.4,3.9,3.7,7,5
0,4,1,5,2,1,0,4,0,0,1,1,0,3,0,0.9051794450150374,0.9023513144917614,30,25,1.9,2.9,2.2,2.7,3,3
2,3,0,3,2,0,3,4,0,3,9,0,3,5,0,0.921244362936416,0.9149948585954778,24,52,2.6,2.9,2.7,2.4,6,5
1,2,0,4,3,1,3,2,1,0,4,1,3,4,0,0.921697618690292,0.8878970796628997,9,12,2.8,3.4,3.2,4.3,4,4
6,3,1,6,5,0,0,2,1,2,4,1,1,2,0,0.907454838446186,0.91178729238048,6,28,2.9,3.2,2.7,2.9,4,4
4,1,1,4,3,0,5,2,1,1,6,0,4,5,0,0.9242517046459604,0.8890140517879039,6,14,2.5,2.5,2.8,3.7,4,2
3,2,0,2,3,1,0,5,0,1,4,1,7,1,0,0.9134835651671273,0.9168053512569844,7,17,1.8,3.2,3.3,3.2,2,6
2,3,0,0,1,1,2,3,0,1,4,1,1,0,1,0.9162344156268456,0.9244995714315872,7,3,2.3,2.3,3.0,2.0,6,6
4,1,0,4,3,0,5,2,1,3,1,0,0,2,0,0.9099988679880188,0.9028989343640648,19,9,2.7,2.1,3.1,3.1,5,4
5,2,0,1,4,0,1,4,1,4,2,1,7,2,0,0.9202976747395436,0.9162170049072902,5,29,1.9,2.4,3.4,3.0,5,5
4,6,1,4,2,0,1,2,1,2,4,0,2,1,0,0.9127272245711128,0.9122543690569048,4,5,4.1,4.3,4.8,4.1,5,6
4,2,0,5,4,0,5,7,0,1,3,0,3,2,1,0.9308312362833318,0.9084120710322404,3,29,2.4,3.0,2.6,2.2,4,6
3,2,0,3,5,0,3,2,1,5,4,0,2,1,0,0.9207271026591402,0.9063810932889113,15,2,2.7,3.5,2.9,3.9,3,3
4,2,1,9,1,0,5,6,1,2,6,0,2,3,0,0.8903230619758272,0.8971128213174921,20,21,3.5,3.3,2.7,3.4,5,2
3,2,0,5,4,0,3,2,0,4,3,0,6,1,1,0.8985467268973558,0.9121978399167026,23,28,3.0,2.9,3.0,4.3,6,2
5,0,0,4,2,1,3,2,0,3,2,1,5,1,0,0.921244362936416,0.9036901109517748,24,22,3.4,3.3,1.8,3.6,7,1
3,0,0,2,1,0,3,2,1,6,0,0,6,5,0,0.9379309046158192,0.9050851437538696,6,4,2.6,2.4,2.7,3.2,6,4
2,3,0,4,0,1,6,3,0,4,5,1,1,2,0,0.9099608676995512,0.9044604995284238,19,30,3.1,2.0,2.1,2.7,7,4
6,2,0,5,4,0,5,3,1,0,4,0,1,6,1,0.9037397079787902,0.8783592220623596,20,22,3.5,2.6,2.7,2.9,8,6
1,2,1,0,5,0,3,1,0,3,2,1,2,3,0,0.9244224361260286,0.9233955244739276,24,14,2.7,3.3,5.2,3.1,4,9
2,3,1,0,2,0,3,2,0,0,7,0,4,1,1,0.9127272245711128,0.9249928335305864,4,3,2.8,3.1,2.4,2.0,4,6
4,1,0,2,4,1,5,4,0,1,2,0,1,5,0,0.9061891429567264,0.9160561037206812,28,19,3.3,1.9,2.7,2.2,6,5
2,1,0,1,2,1,1,3,0,2,1,0,0,3,1,0.9276322027444482,0.9071364922106412,8,18,2.7,3.1,3.4,2.4,4,6
1,2,0,5,2,0,3,4,1,1,6,1,3,2,0,0.9047058204900356,0.9054592163268772,22,28,1.8,3.4,2.7,2.3,2,6
0,2,1,4,0,1,3,2,0,8,0,1,7,3,0,0.9034911437261264,0.92240999242621,6,13,2.0,1.7,2.0,2.4,5,5
1,4,1,2,1,1,3,0,0,1,3,1,2,3,0,0.8972416211448658,0.9236073005863032,22,26,2.2,3.1,2.6,2.1,4,7
5,3,1,4,2,0,3,5,0,3,1,1,0,5,0,0.9241694674156672,0.8977719995964006,18,52,3.8,2.3,3.2,3.0,7,4
1,5,0,5,1,0,0,3,1,1,2,0,3,1,1,0.9116115336949744,0.902482716256905,26,1,3.1,3.0,1.9,2.6,4,3
4,3,0,0,3,0,5,4,0,6,1,0,5,1,1,0.9126170122514474,0.918554992282947,4,30,2.4,2.8,2.7,2.4,4,5
3,1,0,3,4,0,5,7,0,0,4,1,2,4,0,0.9221626793280868,0.8937037405747742,16,21,3.0,4.4,4.1,2.3,3,6
3,2,1,0,4,0,4,1,1,2,4,0,3,2,1,0.9248649447850572,0.9009408053338068,4,18,3.2,2.2,2.7,3.7,9,3
1,4,0,2,4,0,4,1,0,3,0,0,5,2,1,0.8986185164792659,0.8951566529432085,25,8,2.5,2.4,2.4,2.5,5,4
1,2,0,2,3,0,0,5,0,2,3,1,4,5,0,0.8862462863297639,0.9321588908711242,2,16,3.0,2.9,4.2,2.6,5,7
4,5,1,3,5,0,4,0,1,6,1,0,3,1,0,0.8972416211448658,0.9042842768733624,22,20,3.2,3.5,2.7,3.0,5,4
5,1,1,2,3,0,2,1,0,8,1,0,2,5,0,0.8952429536528494,0.9050090283931196,4,12,2.4,2.7,2.6,3.0,4,5
