game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_players,away_team_players
6,0,1,0,3,1,0,1,1,0,3,1,4,1,1,6,0,0,0,3,0,0,1,0,0,3,0,4,1,0,"[0.96774194 1.9        0.6        1.3        0.8        0.3
 0.6        1.7        0.3        0.6        0.3        1.
 0.8        0.         0.         1.1       ]","[0.76666667 0.3        0.3        0.3        0.6        0.3
 0.         1.6        1.3        0.         1.1        1.3
 0.8        0.8        1.1        0.6       ]"
3,1,1,2,0,1,2,4,1,5,2,1,3,2,1,3,1,0,2,0,0,2,4,0,5,2,0,3,2,0,"[0.93333333 0.         0.6        0.3        1.9        0.9
 1.4        0.3        1.4        1.2        1.6        2.2
 1.1        0.6        1.2        0.3       ]","[0.89285714 0.         0.         0.3        0.3        0.3
 1.2        0.3        0.         0.3        0.3        0.3
 0.3        2.         1.4        0.3       ]"
5,4,1,5,4,1,5,1,1,3,4,1,2,3,1,5,4,0,5,4,0,5,1,0,3,4,0,2,3,0,"[0.94285714 0.9        1.         0.         0.3        0.9
 0.3        0.         0.6        0.         2.1        0.
 1.4        0.9        0.         0.8       ]","[0.8125 1.9    0.9    1.6    0.3    0.3    1.2    0.8    0.6    1.8
 0.     1.3    0.6    0.5    0.3    0.9   ]"
3,4,1,1,2,1,0,4,1,4,2,1,4,5,1,3,4,0,1,2,0,0,4,0,4,2,0,4,5,0,"[0.97222222 0.3        0.5        0.3        0.         0.9
 0.3        0.         0.         1.1        0.6        1.8
 1.1        1.9        1.6        1.4       ]","[0.82608696 0.         0.3        2.2        1.1        0.8
 0.9        1.2        0.9        0.3        1.3        1.7
 0.         0.3        0.         0.9       ]"
2,1,1,3,2,1,6,3,1,4,3,1,2,3,1,2,1,0,3,2,0,6,3,0,4,3,0,2,3,0,"[0.96666667 0.3        0.9        0.3        0.6        0.3
 0.9        0.3        0.         0.         1.5        0.6
 3.3        2.2        0.3        2.3       ]","[0.92307692 0.3        0.         0.3        0.3        0.
 0.         0.9        0.3        0.6        0.3        0.6
 1.6        0.6        0.         1.1       ]"
4,1,1,4,3,1,5,2,1,3,1,1,1,3,1,4,1,0,4,3,0,5,2,0,3,1,0,1,3,0,[1.  0.  0.  0.6 1.3 1.1 0.9 0.  0.  0.3 0.5 0.3 1.5 0.  0.6 0. ],"[0.92307692 0.6        0.3        0.6        0.3        0.3
 0.3        0.3        0.3        2.         0.         1.1
 0.3        0.6        0.9        1.3       ]"
3,0,1,2,3,1,1,3,1,4,3,1,5,1,1,3,0,0,2,3,0,1,3,0,4,3,0,5,1,0,"[0.83333333 0.         1.6        1.3        1.1        0.8
 0.3        0.6        0.8        2.3        1.6        0.8
 1.6        0.8        0.6        1.        ]","[0.90909091 0.8        0.5        0.3        0.3        0.3
 0.9        0.6        1.         1.4        0.         0.3
 0.         0.8        0.9        0.        ]"
7,4,1,3,2,1,3,4,1,6,7,1,2,3,1,7,4,0,3,2,0,3,4,0,6,7,0,2,3,0,"[0.90322581 0.3        0.         0.6        1.2        0.6
 0.3        0.         0.9        0.         0.3        0.8
 1.6        1.1        0.8        0.        ]","[0.95833333 0.         0.3        0.         0.         1.3
 0.3        0.6        0.         0.6        1.5        0.
 2.9        0.3        0.6        0.5       ]"
4,3,1,1,2,1,3,0,1,4,2,1,2,3,1,4,3,0,1,2,0,3,0,0,4,2,0,2,3,0,"[0.91304348 1.1        0.3        0.9        0.         1.5
 1.3        0.         0.9        0.         0.3        0.6
 0.3        1.2        0.8        0.3       ]","[0.86206897 1.5        0.3        0.8        1.3        0.5
 1.         1.7        0.8        0.         0.3        2.6
 1.3        1.4        1.5        1.9       ]"
1,2,1,3,6,1,2,4,1,4,3,1,3,2,1,1,2,0,3,6,0,2,4,0,4,3,0,3,2,0,"[0.92307692 0.9        0.8        0.9        0.3        0.9
 0.3        0.8        0.3        0.6        1.4        0.5
 0.         1.6        1.6        0.6       ]","[0.93333333 0.6        0.3        0.         0.6        0.
 0.3        0.         0.         0.3        0.6        1.5
 0.6        1.3        0.6        0.3       ]"
